country,year,countryyear,iso3c,iso3n,cowcode,hrmicode,disap_mean,disap_sd,disap_lo,disap_hi,exkill_mean,exkill_sd,exkill_lo,exkill_hi,arrest_mean,arrest_sd,arrest_lo,arrest_hi,tort_mean,tort_sd,tort_lo,tort_hi,dpex_mean,dpex_sd,dpex_lo,dpex_hi,express_mean,express_sd,express_lo,express_hi,polpart_mean,polpart_sd,polpart_lo,polpart_hi,assem_mean,assem_sd,assem_lo,assem_hi,rel_mean,rel_sd,rel_lo,rel_hi,physint_mean,physint_sd,physint_lo,physint_hi,empower_mean,empower_sd,empower_lo,empower_hi
Samoa,2022,WSM2022,WSM,882,990,31,7.7665434,.85783672,6.6685123,8.8645744,8.394743,.76225418,7.4190578,9.3704281,8.0515947,.81315374,7.0107579,9.0924311,7.3039975,.90593189,6.1444049,8.4635906,10,0,10,10,7.2311831,.78041238,6.232255,8.2301111,8.0254984,.88677812,6.8904223,9.160574,7.7958274,1.0044476,6.5101347,9.0815201,,,,,7.2259164,1.1125144,5.801898,8.6499348,8.1329908,.98700386,6.869626,9.3963556
Solomon Islands,2018,SLB2018,SLB,90,940,32,8.705802,1.4671426,6.8278594,10.583744,,,,,7.1256042,.95621866,5.9016442,8.3495636,7.0227089,.98490638,5.7620287,8.2833891,10,0,10,10,4.4128909,.89664364,3.265187,5.5605946,,,,,,,,,,,,,7.3490224,1.6664292,5.2159929,9.4820518,,,,
Solomon Islands,2019,SLB2019,SLB,90,940,32,8.7442989,1.0921215,7.3463836,10.142215,7.2419276,1.3489492,5.5152726,8.9685822,5.3836131,1.126803,3.9413052,6.8259211,6.1655316,1.2125553,4.613461,7.7176023,10,0,10,10,3.6793594,.84004921,2.6040964,4.7546225,6.3362761,1.1261362,4.8948216,7.7777305,,,,,,,,,7.2665257,1.0452034,5.9286652,8.6043863,,,,
Solomon Islands,2020,SLB2020,SLB,90,940,32,9.0144577,.73760003,8.0703297,9.9585857,7.2709637,1.6876032,5.1108317,9.4310961,8.3529987,1.1255211,6.9123316,9.7936659,6.5669498,1.3679631,4.8159571,8.3179426,10,0,10,10,2.5532205,.83561426,1.4836342,3.6228068,5.4313483,1.2335672,3.8523822,7.0103145,2.3215253,.99904513,1.0427476,3.6003032,,,,,7.668612,1.1180305,6.2375331,9.0996914,2.490278,.89338535,1.3467448,3.6338112
Solomon Islands,2021,SLB2021,SLB,90,940,32,9.152462,.54121017,8.459713,9.845211,9.4070463,.67558402,8.5422983,10.271794,7.9123721,.71453065,6.9977727,8.8269711,8.1834183,.62778491,7.3798537,8.9869833,10,0,10,10,5.8225093,1.4804738,3.9275029,7.7175155,5.2811446,1.2176763,3.7225189,6.8397703,3.1004629,.90486687,1.9422333,4.2586927,,,,,8.8184366,.91289634,7.6499295,9.9869442,4.1969137,1.0077142,2.9070396,5.4867878
Tonga,2018,TON2018,TON,776,955,34,7.4372258,1.0078599,6.1471653,8.7272863,7.6557412,.80292022,6.6280031,8.6834793,6.6932859,1.0441418,5.3567843,8.0297871,5.9047551,.63587987,5.0908289,6.7186813,10,0,10,10,6.8946385,.61725014,6.1045585,7.6847186,6.931468,.5848828,6.1828179,7.6801181,7.4441648,.59321523,6.6848493,8.2034798,,,,,6.8661346,.84555036,5.7838302,7.9484391,6.9201388,.71659273,6.0029001,7.8373775
Tonga,2019,TON2019,TON,776,955,34,7.5379596,.99882251,6.2594666,8.816452,7.8684802,.64626801,7.0412574,8.6957035,6.9794631,.78918606,5.969305,7.9896212,6.6342607,.46890467,6.0340629,7.2344584,10,0,10,10,7.1392016,.37934533,6.6536398,7.6247635,7.485137,.46148258,6.8944392,8.0758343,7.5385613,.52972865,6.8605084,8.2166138,,,,,6.9713488,1.0251318,5.6591802,8.2835178,7.4596229,.69190079,6.5739899,8.3452559
Tonga,2020,TON2020,TON,776,955,34,8.4805498,.30607361,8.0887756,8.872324,8.3758059,.27991599,8.0175133,8.7340984,7.9633565,.32269731,7.5503039,8.3764095,7.2726583,.3352071,6.8435931,7.7017236,10,0,10,10,7.3014736,.3756339,6.820662,7.7822852,8.2349072,.35527527,7.7801547,8.6896591,7.8643241,.39517403,7.3585014,8.3701468,,,,,7.8151903,.7452383,6.8612852,8.7690954,7.762814,.69028932,6.8792439,8.6463842
Tonga,2021,TON2021,TON,776,955,34,8.3570175,.19935758,8.10184,8.612195,8.3443613,.2119839,8.0730219,8.6157007,8.141923,.2411778,7.8332152,8.4506302,7.1817164,.32143751,6.7702765,7.5931563,10,0,10,10,7.410718,.35372773,6.9579463,7.8634896,8.1032,.35619277,7.6472731,8.5591269,8.0052824,.40152276,7.4913335,8.5192318,,,,,7.8293872,.71863925,6.9095287,8.7492456,7.9181929,.67908108,7.0489693,8.7874165
Tonga,2022,TON2022,TON,776,955,34,8.155407,.29455507,7.7783766,8.5324373,7.9596081,.37113085,7.4845605,8.4346552,8.03335,.30221754,7.6465116,8.4201889,7.2439508,.42165008,6.7042389,7.7836628,10,0,10,10,8.0130196,.51972771,7.3477683,8.6782713,7.900743,.50028366,7.2603798,8.5411062,6.9915762,.89555836,5.8452616,8.1378908,9.3499479,1.0579331,7.9957933,10.704103,7.670752,.7367208,6.7277493,8.6137543,7.6197166,.78646857,6.6130371,8.6263962
Tonga,2023,TON2023,TON,776,955,34,,,,,,,,,,,,,,,,,10,0,10,10,,,,,,,,,,,,,9.3590164,1.0191936,8.0544481,10.663585,,,,,,,,
Tuvalu,2019,TUV2019,TUV,798,947,35,,,,,,,,,,,,,,,,,10,0,10,10,7.984633,.9997192,6.7049923,9.2642736,,,,,,,,,,,,,,,,,,,,
Tuvalu,2020,TUV2020,TUV,798,947,35,8.769968,.80604607,7.7382293,9.8017073,8.4310741,.78117108,7.4311752,9.4309731,8.7233238,.89435524,7.5785489,9.8680983,7.3759661,1.0900193,5.9807415,8.7711906,10,0,10,10,6.7945628,.93490034,5.5978904,7.9912353,7.5899816,1.1945355,6.060976,9.1189871,8.2920389,.71318305,7.3791647,9.2049131,,,,,8.2586088,.80630296,7.226541,9.2906771,7.2956691,.83139586,6.2314825,8.3598557
Tuvalu,2021,TUV2021,TUV,798,947,35,8.5803823,.93995529,7.3772397,9.7835255,8.5872993,.94477212,7.3779912,9.796608,8.6138926,.95563799,7.390676,9.8371096,8.6914997,1.0057886,7.4040904,9.9789095,10,0,10,10,6.8748331,.88363409,5.7437816,8.0058851,8.1638212,.94538164,6.9537325,9.37391,8.3141088,.93240714,7.1206279,9.5075903,,,,,8.3703489,1.2688525,6.7462177,9.9944801,7.8899679,.87433225,6.7708225,9.0091133
Vanuatu,2019,VUT2019,VUT,548,935,36,8.8240309,.80773288,7.790133,9.8579292,7.6440678,.95053715,6.4273801,8.860755,7.0466671,1.1280929,5.6027083,8.4906263,7.1744456,.52254146,6.5055923,7.8432989,10,0,10,10,5.506381,1.1343068,4.0544682,6.9582939,7.1035838,.83641112,6.0329776,8.1741905,,,,,,,,,7.2899213,.93783218,6.0894961,8.4903469,,,,
Vanuatu,2020,VUT2020,VUT,548,935,36,7.9729843,.58529454,7.2238073,8.7221613,7.4800024,.54159194,6.7867646,8.1732397,7.4894524,.54687858,6.7894478,8.1894569,5.6537261,.51565003,4.9936938,6.3137584,10,0,10,10,6.1573019,1.0852592,4.7681704,7.5464334,6.0325336,1.31981,4.3431768,7.7218904,,,,,,,,,6.9715824,.86340475,5.8664246,8.0767403,,,,
Vanuatu,2021,VUT2021,VUT,548,935,36,7.7256193,.6857211,6.8478961,8.6033421,7.6634674,.75700104,6.6945062,8.6324291,7.3393931,.73246002,6.4018445,8.2769423,6.2815375,.7562651,5.313518,7.249557,10,0,10,10,,,,,,,,,,,,,,,,,6.9729896,.79912925,5.9501042,7.9958749,,,,
Vanuatu,2022,VUT2022,VUT,548,935,36,8.4790792,.54814208,7.7774572,9.1807013,8.441987,.58155423,7.6975975,9.1863766,7.7559948,.72258288,6.8310885,8.6809006,5.2212501,1.0322703,3.8999441,6.5425563,10,0,10,10,3.9476511,1.1501542,2.4754536,5.4198484,4.3372545,1.5601637,2.340245,6.3342643,5.1838346,1.3763833,3.4220638,6.9456053,,,,,7.7725554,.84854633,6.6864161,8.858695,3.9234092,.98079467,2.6679921,5.1788263
Vanuatu,2023,VUT2023,VUT,548,935,36,8.3550253,.59367985,7.5951152,9.1149359,8.3296661,.62684846,7.5272999,9.1320324,8.0888662,.76357383,7.1114917,9.0662403,4.8740802,1.2192836,3.3133972,6.434763,10,0,10,10,,,,,,,,,,,,,,,,,7.5503349,.89217961,6.4083452,8.6923246,,,,
